,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2021 Census of Population and Housing,,,,,,,,
General Community Profile DataPack Metadata,,,,,,,,
,,,,,,,,
,,Celldescriptors,,,,,,
G26,Age_55_64_yr_F,Age_groups_55_64_years_Females,G01,G01,Females,,,
G27,Age_55_64_yr_P,Age_groups_55_64_years_Persons,G01,G01,Persons,,,
G28,Age_65_74_yr_M,Age_groups_65_74_years_Males,G01,G01,Males,,,
G29,Age_65_74_yr_F,Age_groups_65_74_years_Females,G01,G01,Females,,,
G30,Age_65_74_yr_P,Age_groups_65_74_years_Persons,G01,G01,Persons,,,
G31,Age_75_84_yr_M,Age_groups_75_84_years_Males,G01,G01,Males,,,
G32,Age_75_84_yr_F,Age_groups_75_84_years_Females,G01,G01,Females,,,
G33,Age_75_84_yr_P,Age_groups_75_84_years_Persons,G01,G01,Persons,,,
G34,Age_85ov_M,Age_groups_85_years_and_over_Males,G01,G01,Males,,,
G35,Age_85ov_F,Age_groups_85_years_and_over_Females,G01,G01,Females,,,
G36,Age_85ov_P,Age_groups_85_years_and_over_Persons,G01,G01,Persons,,,
G37,Counted_Census_Night_home_M,Counted_on_Census_Night_At_home_Males,G01,G01,Males,,,
G38,Counted_Census_Night_home_F,Counted_on_Census_Night_At_home_Females,G01,G01,Females,,,
G39,Counted_Census_Night_home_P,Counted_on_Census_Night_At_home_Persons,G01,G01,Persons,,,
G40,Count_Census_Nt_Ewhere_Aust_M,Counted_on_Census_Night_Elsewhere_in_Australia_Males,G01,G01,Males,,,
G41,Count_Census_Nt_Ewhere_Aust_F,Counted_on_Census_Night_Elsewhere_in_Australia_Females,G01,G01,Females,,,
G42,Count_Census_Nt_Ewhere_Aust_P,Counted_on_Census_Night_Elsewhere_in_Australia_Persons,G01,G01,Persons,,,
G43,Indigenous_psns_Aboriginal_M,Aboriginal_and_or_Torres_Strait_Islander_Persons_Aboriginal_Males,G01,G01,Males,,,
G44,Indigenous_psns_Aboriginal_F,Aboriginal_and_or_Torres_Strait_Islander_Persons_Aboriginal_Females,G01,G01,Females,,,
G45,Indigenous_psns_Aboriginal_P,Aboriginal_and_or_Torres_Strait_Islander_Persons_Aboriginal_Persons,G01,G01,Persons,,,
G46,Indig_psns_Torres_Strait_Is_M,Aboriginal_and_or_Torres_Strait_Islander_Persons_Torres_Strait_Islander_Males,G01,G01,Males,,,
G47,Indig_psns_Torres_Strait_Is_F,Aboriginal_and_or_Torres_Strait_Islander_Persons_Torres_Strait_Islander_Females,G01,G01,Females,,,
G48,Indig_psns_Torres_Strait_Is_P,Aboriginal_and_or_Torres_Strait_Islander_Persons_Torres_Strait_Islander_Persons,G01,G01,Persons,,,
G49,Indig_Bth_Abor_Torres_St_Is_M,Aboriginal_and_or_Torres_Strait_Islander_Persons_Both_Aboriginal_and_Torres_Strait_Islander_Males,G01,G01,Males,,,
G50,Indig_Bth_Abor_Torres_St_Is_F,Aboriginal_and_or_Torres_Strait_Islander_Persons_Both_Aboriginal_and_Torres_Strait_Islander_Females,G01,G01,Females,,,
G51,Indig_Bth_Abor_Torres_St_Is_P,Aboriginal_and_or_Torres_Strait_Islander_Persons_Both_Aboriginal_and_Torres_Strait_Islander_Persons,G01,G01,Persons,,,
G52,Indigenous_P_Tot_M,Aboriginal_and_or_Torres_Strait_Islander_Persons_Total_Males,G01,G01,Males,,,
G53,Indigenous_P_Tot_F,Aboriginal_and_or_Torres_Strait_Islander_Persons_Total_Females,G01,G01,Females,,,
G54,Indigenous_P_Tot_P,Aboriginal_and_or_Torres_Strait_Islander_Persons_Total_Persons,G01,G01,Persons,,,
G55,Birthplace_Australia_M,Birthplace_Australia_Males,G01,G01,Males,,,
G56,Birthplace_Australia_F,Birthplace_Australia_Females,G01,G01,Females,,,
G57,Birthplace_Australia_P,Birthplace_Australia_Persons,G01,G01,Persons,,,
G58,Birthplace_Elsewhere_M,Birthplace_Elsewhere_Males,G01,G01,Males,,,
G59,Birthplace_Elsewhere_F,Birthplace_Elsewhere_Females,G01,G01,Females,,,
G60,Birthplace_Elsewhere_P,Birthplace_Elsewhere_Persons,G01,G01,Persons,,,
G61,Lang_used_home_Eng_only_M,Language_used_at_home_English_only_Males,G01,G01,Males,,,
G62,Lang_used_home_Eng_only_F,Language_used_at_home_English_only_Females,G01,G01,Females,,,
G63,Lang_used_home_Eng_only_P,Language_used_at_home_English_only_Persons,G01,G01,Persons,,,
G64,Lang_used_home_Oth_Lang_M,Language_used_at_home_Other_Language_Males,G01,G01,Males,,,
G65,Lang_used_home_Oth_Lang_F,Language_used_at_home_Other_Language_Females,G01,G01,Females,,,
G66,Lang_used_home_Oth_Lang_P,Language_used_at_home_Other_Language_Persons,G01,G01,Persons,,,
G67,Australian_citizen_M,Australian_citizen_Males,G01,G01,Males,,,
G68,Australian_citizen_F,Australian_citizen_Females,G01,G01,Females,,,
G69,Australian_citizen_P,Australian_citizen_Persons,G01,G01,Persons,,,
G70,Age_psns_att_educ_inst_0_4_M,Age_of_Persons_attending_an_education_institution_0_4_years_Males,G01,G01,Males,,,
G71,Age_psns_att_educ_inst_0_4_F,Age_of_Persons_attending_an_education_institution_0_4_years_Females,G01,G01,Females,,,
G72,Age_psns_att_educ_inst_0_4_P,Age_of_Persons_attending_an_education_institution_0_4_years_Persons,G01,G01,Persons,,,
G73,Age_psns_att_educ_inst_5_14_M,Age_of_Persons_attending_an_education_institution_5_14_years_Males,G01,G01,Males,,,
G74,Age_psns_att_educ_inst_5_14_F,Age_of_Persons_attending_an_education_institution_5_14_years_Females,G01,G01,Females,,,
G75,Age_psns_att_educ_inst_5_14_P,Age_of_Persons_attending_an_education_institution_5_14_years_Persons,G01,G01,Persons,,,
G76,Age_psns_att_edu_inst_15_19_M,Age_of_Persons_attending_an_education_institution_15_19_years_Males,G01,G01,Males,,,
G77,Age_psns_att_edu_inst_15_19_F,Age_of_Persons_attending_an_education_institution_15_19_years_Females,G01,G01,Females,,,
G78,Age_psns_att_edu_inst_15_19_P,Age_of_Persons_attending_an_education_institution_15_19_years_Persons,G01,G01,Persons,,,
G79,Age_psns_att_edu_inst_20_24_M,Age_of_Persons_attending_an_education_institution_20_24_years_Males,G01,G01,Males,,,
G80,Age_psns_att_edu_inst_20_24_F,Age_of_Persons_attending_an_education_institution_20_24_years_Females,G01,G01,Females,,,
G81,Age_psns_att_edu_inst_20_24_P,Age_of_Persons_attending_an_education_institution_20_24_years_Persons,G01,G01,Persons,,,
G82,Age_psns_att_edu_inst_25_ov_M,Age_of_Persons_attending_an_education_institution_25_years_and_over_Males,G01,G01,Males,,,
G83,Age_psns_att_edu_inst_25_ov_F,Age_of_Persons_attending_an_education_institution_25_years_and_over_Females,G01,G01,Females,,,
G84,Age_psns_att_edu_inst_25_ov_P,Age_of_Persons_attending_an_education_institution_25_years_and_over_Persons,G01,G01,Persons,,,
G85,High_yr_schl_comp_Yr_12_eq_M,Highest_year_of_school_completed_Year_12_or_equivalent_Males,G01,G01,Males,,,
G86,High_yr_schl_comp_Yr_12_eq_F,Highest_year_of_school_completed_Year_12_or_equivalent_Females,G01,G01,Females,,,
G87,High_yr_schl_comp_Yr_12_eq_P,Highest_year_of_school_completed_Year_12_or_equivalent_Persons,G01,G01,Persons,,,
G88,High_yr_schl_comp_Yr_11_eq_M,Highest_year_of_school_completed_Year_11_or_equivalent_Males,G01,G01,Males,,,
G89,High_yr_schl_comp_Yr_11_eq_F,Highest_year_of_school_completed_Year_11_or_equivalent_Females,G01,G01,Females,,,
G90,High_yr_schl_comp_Yr_11_eq_P,Highest_year_of_school_completed_Year_11_or_equivalent_Persons,G01,G01,Persons,,,
G91,High_yr_schl_comp_Yr_10_eq_M,Highest_year_of_school_completed_Year_10_or_equivalent_Males,G01,G01,Males,,,
G92,High_yr_schl_comp_Yr_10_eq_F,Highest_year_of_school_completed_Year_10_or_equivalent_Females,G01,G01,Females,,,
G93,High_yr_schl_comp_Yr_10_eq_P,Highest_year_of_school_completed_Year_10_or_equivalent_Persons,G01,G01,Persons,,,
G94,High_yr_schl_comp_Yr_9_eq_M,Highest_year_of_school_completed_Year_9_or_equivalent_Males,G01,G01,Males,,,
G95,High_yr_schl_comp_Yr_9_eq_F,Highest_year_of_school_completed_Year_9_or_equivalent_Females,G01,G01,Females,,,
G96,High_yr_schl_comp_Yr_9_eq_P,Highest_year_of_school_completed_Year_9_or_equivalent_Persons,G01,G01,Persons,,,
G97,High_yr_schl_comp_Yr_8_belw_M,Highest_year_of_school_completed_Year_8_or_below_Males,G01,G01,Males,,,
G98,High_yr_schl_comp_Yr_8_belw_F,Highest_year_of_school_completed_Year_8_or_below_Females,G01,G01,Females,,,
G99,High_yr_schl_comp_Yr_8_belw_P,Highest_year_of_school_completed_Year_8_or_below_Persons,G01,G01,Persons,,,
G100,High_yr_schl_comp_D_n_g_sch_M,Highest_year_of_school_completed_Did_not_go_to_school_Males,G01,G01,Males,,,
G101,High_yr_schl_comp_D_n_g_sch_F,Highest_year_of_school_completed_Did_not_go_to_school_Females,G01,G01,Females,,,
G102,High_yr_schl_comp_D_n_g_sch_P,Highest_year_of_school_completed_Did_not_go_to_school_Persons,G01,G01,Persons,,,
G103,Count_psns_occ_priv_dwgs_M,Count_of_Persons_in_occupied_private_dwellings_Males,G01,G01,Males,,,
G104,Count_psns_occ_priv_dwgs_F,Count_of_Persons_in_occupied_private_dwellings_Females,G01,G01,Females,,,
G105,Count_psns_occ_priv_dwgs_P,Count_of_Persons_in_occupied_private_dwellings_Persons,G01,G01,Persons,,,
G106,Count_Persons_other_dwgs_M,Count_of_Persons_in_other_dwellings_Males,G01,G01,Males,,,
G107,Count_Persons_other_dwgs_F,Count_of_Persons_in_other_dwellings_Females,G01,G01,Females,,,
G108,Count_Persons_other_dwgs_P,Count_of_Persons_in_other_dwellings_Persons,G01,G01,Persons,,,
G109,Median_age_persons,Median_age_of_persons,G02,G02,Median age of persons,,,
G110,Median_mortgage_repay_monthly,Median_mortgage_repayment_monthly,G02,G02,Median mortgage repayment ($/monthly),,,
G111,Median_tot_prsnl_inc_weekly,Median_total_personal_income_weekly,G02,G02,Median total personal income ($/weekly),,,
G112,Median_rent_weekly,Median_rent_weekly,G02,G02,Median rent ($/weekly),,,
G113,Median_tot_fam_inc_weekly,Median_total_family_income_weekly,G02,G02,Median total family income ($/weekly),,,
G114,Average_num_psns_per_bedroom,Average_number_of_Persons_per_bedroom,G02,G02,Average number of persons per bedroom,,,
G115,Median_tot_hhd_inc_weekly,Median_total_household_income_weekly,G02,G02,Median total household income ($/weekly),,,
G116,Average_household_size,Average_household_size,G02,G02,Average household size,,,
G117,Count_home_Census_Nt_0_14_yr,Counted_at_home_on_Census_Night_Age_0_14_years,G03,G03,Age: 0-14 years,,,
G118,Count_hom_Census_Nt_15_24_yr,Counted_at_home_on_Census_Night_Age_15_24_years,G03,G03,Age: 15-24 years,,,
G119,Count_hom_Census_Nt_25_34_yr,Counted_at_home_on_Census_Night_Age_25_34_years,G03,G03,Age: 25-34 years,,,
G120,Count_hom_Census_Nt_35_44_yr,Counted_at_home_on_Census_Night_Age_35_44_years,G03,G03,Age: 35-44 years,,,
G121,Count_hom_Census_Nt_45_54_yr,Counted_at_home_on_Census_Night_Age_45_54_years,G03,G03,Age: 45-54 years,,,
G122,Count_hom_Census_Nt_55_64_yr,Counted_at_home_on_Census_Night_Age_55_64_years,G03,G03,Age: 55-64 years,,,
G123,Count_hom_Census_Nt_65_74_yr,Counted_at_home_on_Census_Night_Age_65_74_years,G03,G03,Age: 65-74 years,,,
G124,Count_hom_Census_Nt_75_84_yr,Counted_at_home_on_Census_Night_Age_75_84_years,G03,G03,Age: 75-84 years,,,
G125,Count_hom_Census_Nt_85ov,Counted_at_home_on_Census_Night_Age_85_years_and_over,G03,G03,Age: 85 years and over,,,
G126,Counted_home_Census_Night_Tot,Counted_at_home_on_Census_Night_Total,G03,G03,Total,,,
G127,VisSame_SA2_0_14_yr,Visitor_from_Same_Statistical_Area_Level_2_SA2_Age_0_14_years,G03,G03,Age: 0-14 years,,,
G128,VisSame_SA2_15_24_yr,Visitor_from_Same_Statistical_Area_Level_2_SA2_Age_15_24_years,G03,G03,Age: 15-24 years,,,
G129,VisSame_SA2_25_34_yr,Visitor_from_Same_Statistical_Area_Level_2_SA2_Age_25_34_years,G03,G03,Age: 25-34 years,,,
G130,VisSame_SA2_35_44_yr,Visitor_from_Same_Statistical_Area_Level_2_SA2_Age_35_44_years,G03,G03,Age: 35-44 years,,,
G131,VisSame_SA2_45_54_yr,Visitor_from_Same_Statistical_Area_Level_2_SA2_Age_45_54_years,G03,G03,Age: 45-54 years,,,
G132,VisSame_SA2_55_64_yr,Visitor_from_Same_Statistical_Area_Level_2_SA2_Age_55_64_years,G03,G03,Age: 55-64 years,,,
G133,VisSame_SA2_65_74_yr,Visitor_from_Same_Statistical_Area_Level_2_SA2_Age_65_74_years,G03,G03,Age: 65-74 years,,,
G134,VisSame_SA2_75_84_yr,Visitor_from_Same_Statistical_Area_Level_2_SA2_Age_75_84_years,G03,G03,Age: 75-84 years,,,
G135,VisSame_SA2_85ov,Visitor_from_Same_Statistical_Area_Level_2_SA2_Age_85_years_and_over,G03,G03,Age: 85 years and over,,,
G136,VisSame_SA2_Total,Visitor_from_Same_Statistical_Area_Level_2_SA2_Total,G03,G03,Total,,,
G137,VisDiff_SA2_NSW_0_14_yr,Visitor_from_Different_SA2_in_New_South_Wales_Age_0_14_years,G03,G03,Age: 0-14 years,,,
G138,VisDiff_SA2_NSW_15_24_yr,Visitor_from_Different_SA2_in_New_South_Wales_Age_15_24_years,G03,G03,Age: 15-24 years,,,
G139,VisDiff_SA2_NSW_25_34_yr,Visitor_from_Different_SA2_in_New_South_Wales_Age_25_34_years,G03,G03,Age: 25-34 years,,,
G140,VisDiff_SA2_NSW_35_44_yr,Visitor_from_Different_SA2_in_New_South_Wales_Age_35_44_years,G03,G03,Age: 35-44 years,,,
G141,VisDiff_SA2_NSW_45_54_yr,Visitor_from_Different_SA2_in_New_South_Wales_Age_45_54_years,G03,G03,Age: 45-54 years,,,
G142,VisDiff_SA2_NSW_55_64_yr,Visitor_from_Different_SA2_in_New_South_Wales_Age_55_64_years,G03,G03,Age: 55-64 years,,,
G143,VisDiff_SA2_NSW_65_74_yr,Visitor_from_Different_SA2_in_New_South_Wales_Age_65_74_years,G03,G03,Age: 65-74 years,,,
G144,VisDiff_SA2_NSW_75_84_yr,Visitor_from_Different_SA2_in_New_South_Wales_Age_75_84_years,G03,G03,Age: 75-84 years,,,
G145,VisDiff_SA2_NSW_85ov,Visitor_from_Different_SA2_in_New_South_Wales_Age_85_years_and_over,G03,G03,Age: 85 years and over,,,
G146,VisDiff_SA2_NSW_Total,Visitor_from_Different_SA2_in_New_South_Wales_Total,G03,G03,Total,,,
G147,VisDiff_SA2_VIC_0_14_yr,Visitor_from_Different_SA2_in_Victoria_Age_0_14_years,G03,G03,Age: 0-14 years,,,
G148,VisDiff_SA2_VIC_15_24_yr,Visitor_from_Different_SA2_in_Victoria_Age_15_24_years,G03,G03,Age: 15-24 years,,,
G149,VisDiff_SA2_VIC_25_34_yr,Visitor_from_Different_SA2_in_Victoria_Age_25_34_years,G03,G03,Age: 25-34 years,,,
G150,VisDiff_SA2_VIC_35_44_yr,Visitor_from_Different_SA2_in_Victoria_Age_35_44_years,G03,G03,Age: 35-44 years,,,
G151,VisDiff_SA2_VIC_45_54_yr,Visitor_from_Different_SA2_in_Victoria_Age_45_54_years,G03,G03,Age: 45-54 years,,,
G152,VisDiff_SA2_VIC_55_64_yr,Visitor_from_Different_SA2_in_Victoria_Age_55_64_years,G03,G03,Age: 55-64 years,,,
G153,VisDiff_SA2_VIC_65_74_yr,Visitor_from_Different_SA2_in_Victoria_Age_65_74_years,G03,G03,Age: 65-74 years,,,
G154,VisDiff_SA2_VIC_75_84_yr,Visitor_from_Different_SA2_in_Victoria_Age_75_84_years,G03,G03,Age: 75-84 years,,,
G155,VisDiff_SA2_VIC_85ov,Visitor_from_Different_SA2_in_Victoria_Age_85_years_and_over,G03,G03,Age: 85 years and over,,,
G156,VisDiff_SA2_VIC_Total,Visitor_from_Different_SA2_in_Victoria_Total,G03,G03,Total,,,
G157,VisDiff_SA2_QLD_0_14_yr,Visitor_from_Different_SA2_in_Queensland_Age_0_14_years,G03,G03,Age: 0-14 years,,,
G158,VisDiff_SA2_QLD_15_24_yr,Visitor_from_Different_SA2_in_Queensland_Age_15_24_years,G03,G03,Age: 15-24 years,,,
G159,VisDiff_SA2_QLD_25_34_yr,Visitor_from_Different_SA2_in_Queensland_Age_25_34_years,G03,G03,Age: 25-34 years,,,
G160,VisDiff_SA2_QLD_35_44_yr,Visitor_from_Different_SA2_in_Queensland_Age_35_44_years,G03,G03,Age: 35-44 years,,,
G161,VisDiff_SA2_QLD_45_54_yr,Visitor_from_Different_SA2_in_Queensland_Age_45_54_years,G03,G03,Age: 45-54 years,,,
G162,VisDiff_SA2_QLD_55_64_yr,Visitor_from_Different_SA2_in_Queensland_Age_55_64_years,G03,G03,Age: 55-64 years,,,
G163,VisDiff_SA2_QLD_65_74_yr,Visitor_from_Different_SA2_in_Queensland_Age_65_74_years,G03,G03,Age: 65-74 years,,,
G164,VisDiff_SA2_QLD_75_84_yr,Visitor_from_Different_SA2_in_Queensland_Age_75_84_years,G03,G03,Age: 75-84 years,,,
G165,VisDiff_SA2_QLD_85ov,Visitor_from_Different_SA2_in_Queensland_Age_85_years_and_over,G03,G03,Age: 85 years and over,,,
G166,VisDiff_SA2_QLD_Total,Visitor_from_Different_SA2_in_Queensland_Total,G03,G03,Total,,,
G167,VisDiff_SA2_SA_0_14_yr,Visitor_from_Different_SA2_in_South_Australia_Age_0_14_years,G03,G03,Age: 0-14 years,,,
G168,VisDiff_SA2_SA_15_24_yr,Visitor_from_Different_SA2_in_South_Australia_Age_15_24_years,G03,G03,Age: 15-24 years,,,
G169,VisDiff_SA2_SA_25_34_yr,Visitor_from_Different_SA2_in_South_Australia_Age_25_34_years,G03,G03,Age: 25-34 years,,,
G170,VisDiff_SA2_SA_35_44_yr,Visitor_from_Different_SA2_in_South_Australia_Age_35_44_years,G03,G03,Age: 35-44 years,,,
G171,VisDiff_SA2_SA_45_54_yr,Visitor_from_Different_SA2_in_South_Australia_Age_45_54_years,G03,G03,Age: 45-54 years,,,
G172,VisDiff_SA2_SA_55_64_yr,Visitor_from_Different_SA2_in_South_Australia_Age_55_64_years,G03,G03,Age: 55-64 years,,,
G173,VisDiff_SA2_SA_65_74_yr,Visitor_from_Different_SA2_in_South_Australia_Age_65_74_years,G03,G03,Age: 65-74 years,,,
G174,VisDiff_SA2_SA_75_84_yr,Visitor_from_Different_SA2_in_South_Australia_Age_75_84_years,G03,G03,Age: 75-84 years,,,
G175,VisDiff_SA2_SA_85ov,Visitor_from_Different_SA2_in_South_Australia_Age_85_years_and_over,G03,G03,Age: 85 years and over,,,
G176,VisDiff_SA2_SA_Total,Visitor_from_Different_SA2_in_South_Australia_Total,G03,G03,Total,,,
G177,VisDiff_SA2_WA_0_14_yr,Visitor_from_Different_SA2_in_Western_Australia_Age_0_14_years,G03,G03,Age: 0-14 years,,,
G178,VisDiff_SA2_WA_15_24_yr,Visitor_from_Different_SA2_in_Western_Australia_Age_15_24_years,G03,G03,Age: 15-24 years,,,
G179,VisDiff_SA2_WA_25_34_yr,Visitor_from_Different_SA2_in_Western_Australia_Age_25_34_years,G03,G03,Age: 25-34 years,,,
G180,VisDiff_SA2_WA_35_44_yr,Visitor_from_Different_SA2_in_Western_Australia_Age_35_44_years,G03,G03,Age: 35-44 years,,,
G181,VisDiff_SA2_WA_45_54_yr,Visitor_from_Different_SA2_in_Western_Australia_Age_45_54_years,G03,G03,Age: 45-54 years,,,
G182,VisDiff_SA2_WA_55_64_yr,Visitor_from_Different_SA2_in_Western_Australia_Age_55_64_years,G03,G03,Age: 55-64 years,,,
G183,VisDiff_SA2_WA_65_74_yr,Visitor_from_Different_SA2_in_Western_Australia_Age_65_74_years,G03,G03,Age: 65-74 years,,,
G184,VisDiff_SA2_WA_75_84_yr,Visitor_from_Different_SA2_in_Western_Australia_Age_75_84_years,G03,G03,Age: 75-84 years,,,
G185,VisDiff_SA2_WA_85ov,Visitor_from_Different_SA2_in_Western_Australia_Age_85_years_and_over,G03,G03,Age: 85 years and over,,,
G186,VisDiff_SA2_WA_Total,Visitor_from_Different_SA2_in_Western_Australia_Total,G03,G03,Total,,,
G187,VisDiff_SA2_TAS_0_14_yr,Visitor_from_Different_SA2_in_Tasmania_Age_0_14_years,G03,G03,Age: 0-14 years,,,
G188,VisDiff_SA2_TAS_15_24_yr,Visitor_from_Different_SA2_in_Tasmania_Age_15_24_years,G03,G03,Age: 15-24 years,,,
G189,VisDiff_SA2_TAS_25_34_yr,Visitor_from_Different_SA2_in_Tasmania_Age_25_34_years,G03,G03,Age: 25-34 years,,,
G190,VisDiff_SA2_TAS_35_44_yr,Visitor_from_Different_SA2_in_Tasmania_Age_35_44_years,G03,G03,Age: 35-44 years,,,
G191,VisDiff_SA2_TAS_45_54_yr,Visitor_from_Different_SA2_in_Tasmania_Age_45_54_years,G03,G03,Age: 45-54 years,,,
G192,VisDiff_SA2_TAS_55_64_yr,Visitor_from_Different_SA2_in_Tasmania_Age_55_64_years,G03,G03,Age: 55-64 years,,,
G193,VisDiff_SA2_TAS_65_74_yr,Visitor_from_Different_SA2_in_Tasmania_Age_65_74_years,G03,G03,Age: 65-74 years,,,
G194,VisDiff_SA2_TAS_75_84_yr,Visitor_from_Different_SA2_in_Tasmania_Age_75_84_years,G03,G03,Age: 75-84 years,,,
G195,VisDiff_SA2_TAS_85ov,Visitor_from_Different_SA2_in_Tasmania_Age_85_years_and_over,G03,G03,Age: 85 years and over,,,
G196,VisDiff_SA2_TAS_Total,Visitor_from_Different_SA2_in_Tasmania_Total,G03,G03,Total,,,
G197,VisDiff_SA2_NT_0_14_yr,Visitor_from_Different_SA2_in_Northern_Territory_Age_0_14_years,G03,G03,Age: 0-14 years,,,
G198,VisDiff_SA2_NT_15_24_yr,Visitor_from_Different_SA2_in_Northern_Territory_Age_15_24_years,G03,G03,Age: 15-24 years,,,
G199,VisDiff_SA2_NT_25_34_yr,Visitor_from_Different_SA2_in_Northern_Territory_Age_25_34_years,G03,G03,Age: 25-34 years,,,
G200,VisDiff_SA2_NT_35_44_yr,Visitor_from_Different_SA2_in_Northern_Territory_Age_35_44_years,G03,G03,Age: 35-44 years,,,
G201,VisDiff_SA2_NT_45_54_yr,Visitor_from_Different_SA2_in_Northern_Territory_Age_45_54_years,G03,G03,Age: 45-54 years,,,
G202,VisDiff_SA2_NT_55_64_yr,Visitor_from_Different_SA2_in_Northern_Territory_Age_55_64_years,G03,G03,Age: 55-64 years,,,
G203,VisDiff_SA2_NT_65_74_yr,Visitor_from_Different_SA2_in_Northern_Territory_Age_65_74_years,G03,G03,Age: 65-74 years,,,
G204,VisDiff_SA2_NT_75_84_yr,Visitor_from_Different_SA2_in_Northern_Territory_Age_75_84_years,G03,G03,Age: 75-84 years,,,
G205,VisDiff_SA2_NT_85ov,Visitor_from_Different_SA2_in_Northern_Territory_Age_85_years_and_over,G03,G03,Age: 85 years and over,,,
G206,VisDiff_SA2_NT_Total,Visitor_from_Different_SA2_in_Northern_Territory_Total,G03,G03,Total,,,
G207,VisDiff_SA2_ACT_0_14_yr,Visitor_from_Different_SA2_in_Australian_Capital_Territory_Age_0_14_years,G03,G03,Age: 0-14 years,,,
G208,VisDiff_SA2_ACT_15_24_yr,Visitor_from_Different_SA2_in_Australian_Capital_Territory_Age_15_24_years,G03,G03,Age: 15-24 years,,,
G209,VisDiff_SA2_ACT_25_34_yr,Visitor_from_Different_SA2_in_Australian_Capital_Territory_Age_25_34_years,G03,G03,Age: 25-34 years,,,
G210,VisDiff_SA2_ACT_35_44_yr,Visitor_from_Different_SA2_in_Australian_Capital_Territory_Age_35_44_years,G03,G03,Age: 35-44 years,,,
G211,VisDiff_SA2_ACT_45_54_yr,Visitor_from_Different_SA2_in_Australian_Capital_Territory_Age_45_54_years,G03,G03,Age: 45-54 years,,,
G212,VisDiff_SA2_ACT_55_64_yr,Visitor_from_Different_SA2_in_Australian_Capital_Territory_Age_55_64_years,G03,G03,Age: 55-64 years,,,
G213,VisDiff_SA2_ACT_65_74_yr,Visitor_from_Different_SA2_in_Australian_Capital_Territory_Age_65_74_years,G03,G03,Age: 65-74 years,,,
G214,VisDiff_SA2_ACT_75_84_yr,Visitor_from_Different_SA2_in_Australian_Capital_Territory_Age_75_84_years,G03,G03,Age: 75-84 years,,,
G215,VisDiff_SA2_ACT_85ov,Visitor_from_Different_SA2_in_Australian_Capital_Territory_Age_85_years_and_over,G03,G03,Age: 85 years and over,,,
G216,VisDiff_SA2_ACT_Total,Visitor_from_Different_SA2_in_Australian_Capital_Territory_Total,G03,G03,Total,,,
G217,VisDiff_SA2_OT_0_14_yr,Visitor_from_Different_SA2_in_Other_Territories_Age_0_14_years,G03,G03,Age: 0-14 years,,,
G218,VisDiff_SA2_OT_15_24_yr,Visitor_from_Different_SA2_in_Other_Territories_Age_15_24_years,G03,G03,Age: 15-24 years,,,
